SKU,Sale_Channel,DateTime,Quantity,Price
CLT002,Online,2024-12-10 00:22:43.476079,4,69.06
ELEC001,Online,2024-12-10 00:43:51.476079,1,943.69
CLT002,Store 1,2024-12-10 00:51:21.476079,1,68.91
CLT006,Online,2024-12-10 01:18:37.476079,1,51.73
ELEC001,Store 1,2024-12-10 01:19:05.476079,1,983.87
ELEC004,Store 1,2024-12-10 01:28:57.476079,1,908.38
HOME001,Online,2024-12-10 01:29:32.476079,1,82.41
HOME002,Online,2024-12-10 01:39:10.476079,1,80.02
ELEC005,Store 2,2024-12-10 02:01:20.476079,1,842.04
ELEC002,Store 2,2024-12-10 02:13:53.476079,4,514.59
CLT005,Store 1,2024-12-10 02:24:19.476079,1,49.52
CLT006,Marketplace,2024-12-10 03:12:37.476079,2,52.13
CLT005,Store 1,2024-12-10 03:51:09.476079,2,49.97
CLT002,Online,2024-12-10 04:17:23.476079,3,62.93
CLT002,Marketplace,2024-12-10 04:43:35.476079,4,66.06
HOME001,Store 2,2024-12-10 05:05:51.476079,3,81.0
CLT001,Store 1,2024-12-10 05:23:33.476079,1,65.41
ELEC001,Online,2024-12-10 05:25:04.476079,4,1000.36
CLT001,Store 2,2024-12-10 06:18:56.476079,2,60.64
CLT005,Online,2024-12-10 06:27:18.476079,1,48.71
ELEC001,Online,2024-12-10 06:41:55.476079,3,963.23
ELEC002,Store 2,2024-12-10 07:06:29.476079,5,531.23
ELEC003,Online,2024-12-10 07:26:11.476079,1,543.86
ELEC002,Online,2024-12-10 07:33:47.476079,1,538.22
HOME001,Marketplace,2024-12-10 08:00:28.476079,1,81.73
ELEC005,Store 1,2024-12-10 08:29:06.476079,3,873.48
CLT002,Marketplace,2024-12-10 08:54:16.476079,2,68.84
CLT005,Store 2,2024-12-10 09:01:14.476079,1,50.55
HOME003,Online,2024-12-10 09:08:19.476079,2,88.85
HOME003,Store 1,2024-12-10 09:14:15.476079,2,89.03
CLT003,Store 2,2024-12-10 09:15:34.476079,2,52.62
ELEC004,Store 2,2024-12-10 09:19:49.476079,3,963.48
ELEC003,Store 2,2024-12-10 09:20:25.476079,3,568.18
ELEC002,Online,2024-12-10 09:38:05.476079,1,511.19
CLT006,Store 1,2024-12-10 09:54:32.476079,1,50.91
HOME002,Store 2,2024-12-10 09:54:45.476079,1,81.6
ELEC004,Store 2,2024-12-10 10:24:39.476079,3,995.68
CLT002,Store 2,2024-12-10 10:32:34.476079,3,65.64
CLT002,Store 2,2024-12-10 10:42:39.476079,4,68.61
ELEC002,Store 1,2024-12-10 11:00:46.476079,1,518.72
HOME003,Marketplace,2024-12-10 11:04:49.476079,5,95.44
ELEC004,Store 2,2024-12-10 11:04:52.476079,5,903.42
ELEC005,Online,2024-12-10 11:06:43.476079,2,867.44
CLT001,Online,2024-12-10 11:13:26.476079,2,60.11
ELEC001,Store 2,2024-12-10 11:26:27.476079,1,950.3
ELEC003,Store 1,2024-12-10 11:43:56.476079,2,581.82
CLT001,Store 2,2024-12-10 11:52:56.476079,2,62.33
ELEC004,Online,2024-12-10 11:56:43.476079,2,941.03
CLT005,Store 2,2024-12-10 12:08:25.476079,3,50.47
ELEC005,Store 1,2024-12-10 12:32:22.476079,1,804.23
CLT004,Online,2024-12-10 12:52:28.476079,3,58.23
ELEC005,Online,2024-12-10 13:02:40.476079,4,831.98
CLT001,Online,2024-12-10 13:08:32.476079,4,64.42
ELEC005,Store 1,2024-12-10 13:09:39.476079,3,867.52
HOME001,Store 1,2024-12-10 13:27:33.476079,1,87.3
CLT005,Store 2,2024-12-10 13:30:30.476079,5,47.48
HOME001,Store 1,2024-12-10 13:44:26.476079,2,82.84
ELEC001,Online,2024-12-10 13:46:16.476079,1,975.59
CLT006,Store 2,2024-12-10 13:47:52.476079,3,54.92
ELEC001,Marketplace,2024-12-10 14:17:27.476079,5,937.94
ELEC003,Store 2,2024-12-10 14:18:50.476079,2,543.75
ELEC004,Online,2024-12-10 14:22:41.476079,1,989.97
CLT006,Store 1,2024-12-10 14:31:52.476079,2,51.11
ELEC004,Store 1,2024-12-10 14:40:14.476079,2,957.14
ELEC002,Online,2024-12-10 14:42:53.476079,5,538.54
CLT002,Store 2,2024-12-10 14:48:14.476079,1,65.8
CLT006,Online,2024-12-10 14:50:05.476079,5,50.47
ELEC001,Store 1,2024-12-10 14:54:12.476079,4,1004.92
HOME001,Online,2024-12-10 14:55:53.476079,1,83.64
CLT006,Store 2,2024-12-10 15:02:05.476079,3,51.5
CLT005,Store 1,2024-12-10 15:10:43.476079,5,50.44
CLT002,Online,2024-12-10 15:45:37.476079,2,68.81
CLT004,Store 2,2024-12-10 15:51:35.476079,2,59.08
CLT005,Store 2,2024-12-10 16:08:36.476079,1,51.15
CLT004,Online,2024-12-10 16:31:37.476079,3,57.43
ELEC005,Online,2024-12-10 16:34:04.476079,1,875.72
CLT004,Store 2,2024-12-10 16:43:04.476079,2,59.48
CLT006,Online,2024-12-10 16:48:19.476079,1,53.04
HOME003,Store 2,2024-12-10 16:57:01.476079,4,97.76
CLT004,Online,2024-12-10 17:03:23.476079,1,58.95
CLT003,Online,2024-12-10 17:09:32.476079,2,49.38
ELEC002,Store 1,2024-12-10 17:17:07.476079,4,541.71
ELEC003,Store 1,2024-12-10 17:25:47.476079,2,540.09
ELEC001,Online,2024-12-10 18:05:46.476079,1,948.52
CLT002,Store 1,2024-12-10 18:25:50.476079,4,67.87
CLT005,Store 1,2024-12-10 18:36:00.476079,3,52.29
CLT002,Store 1,2024-12-10 19:00:09.476079,2,64.14
CLT001,Store 2,2024-12-10 19:04:39.476079,1,63.33
CLT004,Store 1,2024-12-10 19:05:33.476079,2,58.6
CLT005,Online,2024-12-10 19:07:00.476079,1,48.94
ELEC001,Store 1,2024-12-10 19:07:20.476079,1,961.45
CLT005,Store 1,2024-12-10 19:08:10.476079,3,50.79
CLT001,Online,2024-12-10 19:14:01.476079,4,62.99
CLT006,Online,2024-12-10 19:23:37.476079,4,53.02
HOME001,Marketplace,2024-12-10 19:25:17.476079,1,86.21
ELEC003,Store 2,2024-12-10 19:30:56.476079,3,545.04
CLT001,Online,2024-12-10 19:35:03.476079,2,65.1
CLT007,Online,2024-12-10 19:35:39.476079,1,58.15
HOME001,Store 2,2024-12-10 19:44:12.476079,1,82.99
CLT005,Online,2024-12-10 19:51:25.476079,5,47.38
ELEC005,Store 2,2024-12-10 19:53:56.476079,3,828.7
CLT003,Online,2024-12-10 19:58:25.476079,1,49.91
CLT002,Store 1,2024-12-10 20:01:38.476079,5,67.23
CLT006,Marketplace,2024-12-10 20:27:28.476079,1,53.56
ELEC004,Store 1,2024-12-10 20:45:08.476079,4,923.14
CLT001,Store 2,2024-12-10 21:17:36.476079,3,59.54
ELEC005,Store 1,2024-12-10 21:54:25.476079,1,879.66
ELEC003,Store 1,2024-12-10 22:17:30.476079,1,587.15
ELEC003,Store 2,2024-12-10 22:44:27.476079,4,543.7
CLT005,Online,2024-12-10 23:17:34.476079,2,51.6
CLT007,Store 1,2024-12-10 23:58:21.476079,2,58.05
CLT005,Store 2,2024-12-11 00:04:11.476079,2,47.46
ELEC004,Store 1,2024-12-11 00:20:47.476079,2,943.53
ELEC004,Store 1,2024-12-11 01:27:53.476079,3,922.14
ELEC004,Online,2024-12-11 01:36:38.476079,3,950.58
